time	temperature	resistance
0	27.375	9198.211
1	27.5	9090.832
2	27.6875	8993.45
3	27.8125	8958.286
4	28.0	8818.921
5	28.125	8810.279
6	28.25	8750.0
7	28.4375	8707.18
8	28.5625	8521.083
9	28.6875	8579.892
10	28.8125	8462.645
11	28.9375	8412.843
12	29.125	8346.863
13	29.25	8322.247
14	29.375	8281.355
15	29.5	8183.961
16	29.625	8087.60436
17	29.75	8087.60436
18	29.875	7913.5645
19	30.0	7937.101
20	30.125	7897.9128
21	30.25	7882.284
22	30.4375	7789.086
23	30.5	7727.019
24	30.625	7673.47
25	30.8125	7635.4232
26	30.9375	7635.4232
27	31.0	7559.8152
28	31.125	7492.327
29	31.25	7447.617
30	31.375	7395.751
31	31.5	7351.533
32	31.625	7234.7152
34	31.75	7220.21936
35	31.875	7176.8948
36	32.125	7205.754
37	32.25	7140.949
38	32.375	7076.633
39	32.4375	7034.0216
40	32.5625	7005.73636
41	32.6875	6921.4296
42	32.8125	6956.456
43	32.9375	6858.744
44	33.0625	6803.41568
45	33.125	6707.456
46	33.25	6762.159
47	33.375	6748.4492
48	33.4375	6673.448
49	33.625	6538.801
51	33.6875	6605.854
52	33.9375	6512.135
53	34.0	6532.126
54	34.125	6525.4576
55	34.25	6445.8364
56	34.3125	6406.3084
57	34.4375	6380.067
58	34.5	6353.9024
59	34.625	6334.336
60	34.75	6308.323
61	34.8125	6275.92
62	34.9375	6192.277
63	35.0	6211.505
64	35.125	6166.712
65	35.1875	6147.5932
67	35.3125	6090.498
68	35.4375	6077.8668
69	35.5	6071.5576
70	35.6875	6033.8124
71	35.75	6002.493
72	35.875	6002.493
73	35.9375	5977.1304
74	36.0625	5989.6044
75	36.125	5915.049
76	36.1875	5890.3536
77	36.3125	5878.036
78	36.375	5792.3276
79	36.5	5822.834
80	36.5625	5798.418
81	36.625	5792.3276
83	36.6875	5701.5196
84	36.8125	5731.6732
85	36.875	5653.515
86	37.0	5725.631
87	37.125	5701.5196
88	37.1875	5576.13
89	37.25	5653.515
90	37.3125	5534.7732
91	37.4375	5605.8024
92	37.5	5582.052
93	37.5625	5528.8856
94	37.625	5546.5676
95	37.6875	5511.245
96	37.75	5464.394
97	37.8125	5522.999
98	37.875	5435.2524
100	37.9375	5481.927
101	38.0625	5388.863
102	38.1875	5441.0712
103	38.25	5302.62
104	38.3125	5360.0064
105	38.375	5325.522
106	38.4375	5319.791
107	38.5	5302.62
108	38.5625	5228.6568
109	38.625	5308.338
110	38.6875	5222.995
111	38.75	5183.496
112	38.8125	5189.125
113	38.8125	5155.4052
