time	temperature	resistance
0	0	11417.365
0	0	11328.147
10	22.375	11383.824
0	0	11417.365
10	22.375	11372.669
20	22.375	11350.381
30	22.375	11328.147
40	22.375	11383.824
50	22.375	11383.824
60	22.375	11372.669
70	22.375	11383.824
80	22.375	11406.178
90	22.375	11372.669
100	22.375	11383.824
110	22.375	11361.514
120	22.375	11372.669
130	22.375	11394.99
140	22.375	11394.99
150	22.375	11394.99
160	22.375	11394.99
170	22.375	11406.178
180	22.375	11417.365
190	22.375	11372.669
200	22.375	11462.26
210	22.3125	11394.99
220	22.3125	11383.824
230	22.375	11417.365
240	22.375	11417.365
250	22.375	11394.99
260	22.375	11417.365
270	22.375	11417.365
280	22.375	11439.785
290	22.375	11406.178
300	22.375	11394.99
310	22.375	11417.365
320	22.375	11417.365
330	22.375	11439.785
340	22.375	11417.365
350	22.375	11406.178
360	22.375	11394.99
370	22.375	11417.365
380	22.375	11406.178
390	22.375	11417.365
400	22.375	11406.178
410	22.375	11406.178
420	22.375	11394.99
430	22.375	11406.178
440	22.375	11417.365
450	22.375	11406.178
460	22.375	11462.26
470	22.375	11383.824
480	22.375	11417.365
490	22.375	11394.99
500	22.375	11417.365
510	22.375	11394.99
520	22.375	11417.365
530	22.375	11417.365
540	22.375	11417.365
550	22.375	11417.365
560	22.375	11394.99
570	22.375	11406.178
580	22.375	11394.99
590	22.375	11417.365
600	22.375	11394.99
610	22.375	11394.99
620	22.375	11439.785
630	22.375	11439.785
640	22.375	11406.178
650	22.375	11394.99
660	22.375	11439.785
670	22.375	11451.017
680	22.375	11406.178
690	22.375	11417.365
700	22.375	11383.824
710	22.375	11417.365
720	22.375	11406.178
730	22.375	11406.178
740	22.375	11372.669
750	22.375	11406.178
760	22.375	11394.99
770	22.375	11417.365
780	22.375	11406.178
790	22.375	11417.365
800	22.375	11383.824
810	22.4375	11406.178
820	22.375	11417.365
830	22.375	11394.99
840	22.4375	11406.178
850	22.375	11383.824
860	22.4375	11417.365
870	22.4375	11383.824
880	22.375	11439.785
890	22.375	11439.785
900	22.375	11417.365
910	22.375	11417.365
920	22.375	11439.785
930	22.375	11451.017
940	22.375	11406.178
950	22.375	11417.365
960	22.375	11417.365
970	22.375	11417.365
980	22.375	11417.365
990	22.375	11406.178
1000	22.375	11439.785
1010	22.375	11394.99
1020	22.375	11417.365
1030	22.375	11383.824
1040	22.4375	11394.99
1050	22.375	11417.365
1060	22.4375	11394.99
1070	22.4375	11361.514
1080	22.4375	11372.669
1090	22.4375	11383.824
1100	22.4375	11372.669
1110	22.4375	11406.178
1120	22.4375	11394.99
1130	22.4375	11394.99
1140	22.4375	11372.669
1150	22.4375	11394.99
1160	22.4375	11372.669
1170	22.4375	11372.669
1180	22.4375	11350.381
1190	22.4375	11328.147
1200	22.4375	11383.824
1210	22.4375	11372.669
1220	22.4375	11283.821
1230	22.4375	11328.147
1240	22.4375	11328.147
1250	22.4375	11372.669
1260	22.4375	11328.147
1270	22.4375	11350.381
1280	22.4375	11328.147
1290	22.4375	11361.514
1300	22.5	11372.669
1310	22.5	11328.147
1320	22.5	11361.514
1330	22.5	11328.147
1340	22.5	11283.821
1350	22.5	11317.047
1360	22.5	11305.957
1370	22.5	11328.147
1380	22.5	11305.957
1390	22.5	11361.514
1400	22.5	11317.047
1410	22.5	11317.047
1420	22.5	11328.147
1430	22.5	11317.047
1440	22.5	11328.147
1450	22.5	11305.957
1460	22.5	11328.147
1471	22.5	11283.821
1481	22.5	11305.957
1491	22.5	11294.879
1501	22.5	11317.047
1511	22.5	11305.957
1521	22.5	11328.147
1531	22.5	11305.957
1541	22.5	11305.957
1551	22.5	11294.879
1561	22.5	11328.147
1571	22.5	11305.957
1581	22.5	11328.147
1591	22.5	11328.147
1601	22.5	11317.047
1611	22.5	11328.147
1621	22.5	11328.147
1631	22.5	11305.957
1641	22.5	11294.879
1651	22.5	11283.821
1661	22.5	11283.821
1671	22.5	11283.821
1681	22.5	11305.957
1691	22.5	11283.821
1701	22.5	11305.957
1711	22.5	11317.047
1721	22.5	11317.047
1731	22.5	11305.957
1741	22.5625	11305.957
1751	22.5625	11294.879
1761	22.5625	11294.879
1771	22.5	11294.879
1781	22.5	11305.957
1791	22.5625	11272.765
1801	22.5625	11283.821
1811	22.5625	11294.879
1821	22.5	11294.879
1831	22.5	11283.821
1841	22.5	11305.957
1851	22.5	11283.821
1861	22.5625	11272.765
1871	22.5625	11283.821
1881	22.5625	11272.765
1891	22.5625	11261.719
1901	22.5625	11283.821
1911	22.5625	11283.821
1921	22.5625	11239.67
1931	22.5625	11305.957
1941	22.5625	11283.821
1951	22.5625	11261.719
1961	22.5625	11272.765
1971	22.5625	11305.957
1981	22.5625	11272.765
1991	22.5625	11283.821
2001	22.5625	11272.765
2011	22.5625	11261.719
2021	22.5625	11283.821
2031	22.5625	11283.821
2041	22.5625	11283.821
2051	22.5625	11294.879
2061	22.5625	11272.765
2071	22.5625	11294.879
2081	22.5625	11305.957
2091	22.5625	11283.821
2101	22.5625	11239.67
2111	22.5625	11261.719
2121	22.5625	11283.821
2131	22.5625	11283.821
2141	22.5625	11239.67
2151	22.5625	11283.821
2161	22.5625	11261.719
2171	22.5625	11261.719
2181	22.5625	11283.821
2191	22.5625	11261.719
2201	22.5625	11261.719
2211	22.5625	11261.719
2221	22.5625	11283.821
2231	22.5625	11261.719
2241	22.5625	11283.821
2251	22.5625	11283.821
2261	22.5625	11239.67
2271	22.5625	11239.67
2281	22.5625	11283.821
2291	22.625	11261.719
2301	22.625	11272.765
2311	22.625	11261.719
2321	22.625	11272.765
2331	22.625	11228.666
2341	22.625	11239.67
2351	22.625	11206.682
2361	22.625	11239.67
2371	22.625	11184.74
2381	22.625	11272.765
2391	22.625	11239.67
2401	22.625	11217.664
2411	22.625	11239.67
2421	22.625	11217.664
2431	22.625	11239.67
2441	22.625	11206.682
2451	22.625	11239.67
2461	22.625	11195.7
2471	22.625	11217.664
2481	22.625	11228.666
2491	22.625	11228.666
2501	22.625	11195.7
2511	22.625	11239.67
2521	22.625	11217.664
2531	22.625	11217.664
2541	22.625	11217.664
2551	22.625	11206.682
2561	22.625	11217.664
2571	22.625	11217.664
2581	22.625	11228.666
2591	22.625	11217.664
2601	22.625	11239.67
2611	22.625	11239.67
2621	22.625	11217.664
2631	22.625	11239.67
2641	22.625	11217.664
2651	22.625	11239.67
2661	22.625	11239.67
2671	22.625	11239.67
2681	22.625	11228.666
2691	22.625	11250.693
2701	22.625	11217.664
2711	22.625	11217.664
2721	22.625	11239.67
2731	22.625	11261.719
2741	22.625	11239.67
2751	22.625	11239.67
2761	22.625	11228.666
2771	22.625	11217.664
2781	22.625	11239.67
2791	22.625	11217.664
2801	22.625	11261.719
2811	22.625	11239.67
2821	22.625	11239.67
2831	22.625	11217.664
2841	22.625	11217.664
2851	22.625	11239.67
2861	22.625	11217.664
2871	22.625	11217.664
2881	22.625	11239.67
2891	22.625	11261.719
2901	22.625	11239.67
2911	22.625	11217.664
2921	22.625	11239.67
2931	22.625	11239.67
2941	22.625	11228.666
2951	22.625	11239.67
2961	22.625	11239.67
2971	22.625	11228.666
2981	22.625	11283.821
2991	22.625	11239.67
3001	22.625	11228.666
3011	22.625	11217.664
3021	22.625	11228.666
3031	22.625	11239.67
3041	22.625	11239.67
3051	22.625	11228.666
3061	22.625	11250.693
3071	22.625	11195.7
3081	22.625	11217.664
3091	22.625	11239.67
3101	22.625	11228.666
3111	22.625	11228.666
3121	22.625	11228.666
3131	22.625	11239.67
3141	22.625	11239.67
3151	22.625	11228.666
3161	22.625	11195.7
3171	22.625	11261.719
3181	22.625	11228.666
3191	22.625	11261.719
3201	22.625	11217.664
3211	22.625	11228.666
3221	22.625	11228.666
3231	22.6875	11217.664
3241	22.625	11239.67
3251	22.625	11217.664
3261	22.625	11239.67
3271	22.6875	11217.664
3281	22.6875	11173.791
3291	22.6875	11228.666
3301	22.6875	11195.7
3311	22.6875	11228.666
3321	22.625	11195.7
3331	22.6875	11217.664
3341	22.6875	11206.682
3351	22.6875	11228.666
3361	22.6875	11195.7
3371	22.6875	11206.682
3381	22.6875	11195.7
3391	22.75	11195.7
3401	22.6875	11195.7
3411	22.6875	11217.664
3421	22.6875	11217.664
3431	22.75	11195.7
3441	22.6875	11184.74
3451	22.75	11206.682
3461	22.75	11184.74
3471	22.75	11195.7
3481	22.75	11184.74
3491	22.8125	11195.7
3501	22.8125	11173.791
3511	22.8125	11195.7
3521	22.8125	11173.791
3531	22.8125	11151.925
3541	22.75	11151.925
3551	22.75	11184.74
3561	22.75	11173.791
3571	22.75	11141.008
3581	22.75	11141.008
3591	22.75	11184.74
3601	22.75	11151.925
3611	22.75	11173.791
3621	22.75	11173.791
3631	22.75	11173.791
3641	22.75	11173.791
3651	22.75	11151.925
